title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
Modern occult rhetoric: Mass media and the drama of secrecy in the twentieth century,J Gunn,2011,109,"… of the occult by treating it as a rhetorical phenomenon tied to language and symbols and more … Joshua Gunn approaches the occult as an idiom, examining the ways in which acts of …",ZhXUTsTGSAYJ,J Gunn - 2011 - books.google.com,[],https://books.google.com/books?hl=en&lr=&id=dtAm1e3S0CEC&oi=fnd&pg=PR7&dq=corpus+linguistics+esoteric+occult+texts&ots=oO12yMMkOA&sig=nWgUgJV-OHoCg4ZRJIubq40wHHM,unknown,unknown
"Translating Esotericism: Scepticism, Optimism, Agency","WJ Hanegraaff, M Mukhopadhyay",2023,10,… ” may be usefully applied to esoteric vocabulary as well. To … of esoteric texts or of esotericism as a field of study across … an arcane Sanskrit text into the international occultist discourse. …,096zX-09AowJ,"WJ Hanegraaff, M Mukhopadhyay - Correspondences, 2023 - correspondencesjournal.com",[],http://correspondencesjournal.com/ojs/ojs/index.php/home/article/viewFile/165/153,unknown,unknown
The occult mind: magic in theory and practice,CI Lehrich,2007,81,"… the analytical study of occult, magical, or esoteric traditions. Work … Most books advert to normative modes of evidence, analysis, … , the longest of the texts of the Hermetic corpus, Hermes …",1be00G9G3ggJ,CI Lehrich - 2007 - books.google.com,[],https://books.google.com/books?hl=en&lr=&id=ErOzVn6SGIgC&oi=fnd&pg=PR9&dq=corpus+linguistics+esoteric+occult+texts&ots=RpOwqG0gpc&sig=Lm6ihnkXXtvZ-B3gTI0v5wJcAi8,unknown,unknown
Occult Retraction: Cornelius Agrippa and the Paradox of Magical Language,C Miles,2008,15,"… as esoteric, hermetic, or occult … the linguistic paradigm contained in the Corpus Hermeticum, Lehrich has demonstrated in his analysis of the Asclepius (one of the key texts of the Corpus …",sw3MRbblDCgJ,"C Miles - Rhetoric Society Quarterly, 2008 - Taylor & Francis",[],https://www.tandfonline.com/doi/abs/10.1080/02773940802375467,unknown,unknown
"An occult poetics, or, the secret rhetoric of religion",J Gunn,2004,17,"… to a poetics particular to occult, New Age, and similar religious texts, this essay is divided into two … I conclude by comparing the esoteric language of occultism to the theoretical jargon of …",Xve4lya2h4oJ,"J Gunn - Rhetoric Society Quarterly, 2004 - Taylor & Francis",[],https://www.tandfonline.com/doi/abs/10.1080/02773940409391280,unknown,unknown
English occult discourse as a cultural phenomenon,"Y Tomchakovska, O Tomchakovskyi, N Mikava…",2022,4,"… dictionaries and texts manifesting occult discourse on the … methods: elements of compo-nential analysis were applied, … We distinguish this term from esoteric discourse. Esotericism …",WDpFDlX9m24J,"Y Tomchakovska, O Tomchakovskyi, N Mikava… - Wisdom, 2022 - cyberleninka.ru",[],https://cyberleninka.ru/article/n/english-occult-discourse-as-a-cultural-phenomenon,unknown,unknown
Esoteric currents as discursive complexes,K Granholm,2013,92,"… esoteric currents, demonstrating how discourse analysis can be employed in the study of religion and the esoteric… in no way limited to text and does in fact often manifest in non-linguistic …",A_6GMWP3z6AJ,"K Granholm - Religion, 2013 - Taylor & Francis",[],https://www.tandfonline.com/doi/abs/10.1080/0048721X.2013.742741,unknown,unknown
"Mysticism, esotericism and translation",P Wilson,2018,9,"… First, many mystical and esoteric texts are studied in translation. Second, it is possible to use new philosophical tools to reconceptualise the connections that have been made in the past…",TkDFguM0auMJ,"P Wilson - The Routledge handbook of translation and …, 2018 - api.taylorfrancis.com",[],https://api.taylorfrancis.com/content/chapters/edit/download?identifierName=doi&identifierValue=10.4324/9781315678481-29&type=chapterpdf,unknown,unknown
Orientalism and the Occult,C Partridge,2015,13,"… Horus, whose priests were authors of the esoteric Books of Thoth , had, by the Ptolemaic period, become the primary Egyptian deity of occult magic, incantations and spells. Eventually, …",5A3Kf0l3WeAJ,"C Partridge - The occult world, 2015 - thememetrix.wordpress.com",[],https://thememetrix.wordpress.com/wp-content/uploads/2021/11/the-occult-world-rutledge.pdf#page=632,unknown,unknown
To the history of English occult discourse,YO Tomchakovska,2022,0,"… Occultism is thus often used to categorise such esoteric … is the Corpus Hermeticum, the texts associated with Hermes Trismegistos, which are concerned with astrology and other occult …",udU3EAtKm_8J,YO Tomchakovska - 2022 - dspace.uzhnu.edu.ua,[],https://dspace.uzhnu.edu.ua/items/b1df900e-c984-4687-9826-748b341742b8,unknown,unknown
"Translating Esotericism: Scepticism, Optimism, Agency","WJ Hanegraaff, M Mukhopadhyay",2023,10,… ” may be usefully applied to esoteric vocabulary as well. To … of esoteric texts or of esotericism as a field of study across … an arcane Sanskrit text into the international occultist discourse. …,096zX-09AowJ,"WJ Hanegraaff, M Mukhopadhyay - Correspondences, 2023 - correspondencesjournal.com",[],http://correspondencesjournal.com/ojs/ojs/index.php/home/article/viewFile/165/153,unknown,unknown
The occult mind: magic in theory and practice,CI Lehrich,2007,81,"… the analytical study of occult, magical, or esoteric traditions. Work … Most books advert to normative modes of evidence, analysis, … , the longest of the texts of the Hermetic corpus, Hermes …",1be00G9G3ggJ,CI Lehrich - 2007 - books.google.com,[],https://books.google.com/books?hl=en&lr=&id=ErOzVn6SGIgC&oi=fnd&pg=PR9&dq=corpus+linguistics+esoteric+occult+texts&ots=RpOwqG0gqa&sig=IVCElD81SV6vFQoMswgIEnv4OvQ,unknown,unknown
Occult Retraction: Cornelius Agrippa and the Paradox of Magical Language,C Miles,2008,15,"… as esoteric, hermetic, or occult … the linguistic paradigm contained in the Corpus Hermeticum, Lehrich has demonstrated in his analysis of the Asclepius (one of the key texts of the Corpus …",sw3MRbblDCgJ,"C Miles - Rhetoric Society Quarterly, 2008 - Taylor & Francis",[],https://www.tandfonline.com/doi/abs/10.1080/02773940802375467,unknown,unknown
"An occult poetics, or, the secret rhetoric of religion",J Gunn,2004,17,"… to a poetics particular to occult, New Age, and similar religious texts, this essay is divided into two … I conclude by comparing the esoteric language of occultism to the theoretical jargon of …",Xve4lya2h4oJ,"J Gunn - Rhetoric Society Quarterly, 2004 - Taylor & Francis",[],https://www.tandfonline.com/doi/abs/10.1080/02773940409391280,unknown,unknown
English occult discourse as a cultural phenomenon,"Y Tomchakovska, O Tomchakovskyi, N Mikava…",2022,4,"… dictionaries and texts manifesting occult discourse on the … methods: elements of compo-nential analysis were applied, … We distinguish this term from esoteric discourse. Esotericism …",WDpFDlX9m24J,"Y Tomchakovska, O Tomchakovskyi, N Mikava… - Wisdom, 2022 - cyberleninka.ru",[],https://cyberleninka.ru/article/n/english-occult-discourse-as-a-cultural-phenomenon,unknown,unknown
Esoteric currents as discursive complexes,K Granholm,2013,92,"… esoteric currents, demonstrating how discourse analysis can be employed in the study of religion and the esoteric… in no way limited to text and does in fact often manifest in non-linguistic …",A_6GMWP3z6AJ,"K Granholm - Religion, 2013 - Taylor & Francis",[],https://www.tandfonline.com/doi/abs/10.1080/0048721X.2013.742741,unknown,unknown
"Mysticism, esotericism and translation",P Wilson,2018,9,"… First, many mystical and esoteric texts are studied in translation. Second, it is possible to use new philosophical tools to reconceptualise the connections that have been made in the past…",TkDFguM0auMJ,"P Wilson - The Routledge handbook of translation and …, 2018 - api.taylorfrancis.com",[],https://api.taylorfrancis.com/content/chapters/edit/download?identifierName=doi&identifierValue=10.4324/9781315678481-29&type=chapterpdf,unknown,unknown
Orientalism and the Occult,C Partridge,2015,13,"… Horus, whose priests were authors of the esoteric Books of Thoth , had, by the Ptolemaic period, become the primary Egyptian deity of occult magic, incantations and spells. Eventually, …",5A3Kf0l3WeAJ,"C Partridge - The occult world, 2015 - thememetrix.wordpress.com",[],https://thememetrix.wordpress.com/wp-content/uploads/2021/11/the-occult-world-rutledge.pdf#page=632,unknown,unknown
To the history of English occult discourse,YO Tomchakovska,2022,0,"… Occultism is thus often used to categorise such esoteric … is the Corpus Hermeticum, the texts associated with Hermes Trismegistos, which are concerned with astrology and other occult …",udU3EAtKm_8J,YO Tomchakovska - 2022 - dspace.uzhnu.edu.ua,[],https://dspace.uzhnu.edu.ua/items/b1df900e-c984-4687-9826-748b341742b8,unknown,unknown
What Is Esotericism? Does It Exist? How Can It Be Understood?,H Zander,2021,16,… goes back to a reference text–Marsilio Ficino’s translation of the “Corpus Hermeticum”– published … in the object language (“Objektsprache”) and at least some of the underlying “esoteric” …,6Kxho4XfDnEJ,"H Zander - Occult Roots of Religious Studies, 2021 - library.oapen.org",[],https://library.oapen.org/bitstream/handle/20.500.12657/50213/1/9783110664270.pdf#page=27,unknown,unknown
